Crop,Aubergine,Basil,Beet,Broad Beans,Broccoli,Cabbage,Carrot,Cauliflower,Chamomile,Coriander,Corn,Cucumber,Garlic,Green Beans,Hot Pepper,Lettuce,Melon,Mint,Okra,Onion,Oregano,Paprika,Parsley,Peas,Potato,Pumpkin,Radish,Rosemary,Sage,Spinach,Squash,Sunflower,Thyme,Tomato,Turnip,Vigna,Watermelon,Zucchini
Aubergine,0,1,0,0,-4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,-4,0,0,0,1,0,0,0,2,-4,0,0,0,0
Basil,0,0,0,0,0,-4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beet,0,0,0,0,1,1,1,1,0,0,0,0,1,-4,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,-4,0,0,0,0
Broad Beans,1,0,0,0,0,-4,1,1,0,0,0,1,-4,0,0,0,0,0,0,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Broccoli,-4,2,0,0,0,2,0,1,4,0,-4,0,2,-4,-4,0,0,2,0,4,2,-4,0,0,4,-4,0,2,0,0,-4,0,2,-4,0,0,0,0
Cabbage,0,-4,0,-4,1,0,3,0,4,0,-4,0,3,-4,-4,-4,0,2,0,3,0,-4,3,0,1,0,0,1,2,0,0,0,2,-4,1,0,0,0
Carrot,0,1,0,0,0,0,0,0,0,-4,0,1,1,1,0,1,0,0,0,2,1,0,0,1,-4,0,1,2,2,0,0,0,2,2,0,0,0,0
Cauliflower,0,0,1,0,1,0,0,0,4,0,1,1,0,-4,0,-4,0,2,0,1,0,0,0,0,1,0,1,2,2,1,0,0,1,-4,0,0,0,0
Chamomile,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coriander,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn,0,1,0,1,-4,-4,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,-4,0,0,0,0
Cucumber,0,0,1,0,0,1,1,1,0,0,4,0,0,4,0,1,-4,-4,0,1,2,0,0,4,-4,0,2,-4,-4,0,1,1,-4,0,0,1,-4,-4
Garlic,1,0,1,-4,1,1,1,1,4,0,0,0,0,-4,1,1,0,0,0,0,0,1,-4,-4,1,0,0,1,-4,1,0,0,0,1,0,-4,0,0
Green Beans,1,0,-4,0,-4,-4,1,-4,2,0,1,1,-4,0,-4,0,0,2,0,-4,0,-4,0,1,1,0,1,2,2,0,1,0,2,1,0,0,0,0
Hot Pepper,1,2,0,0,-4,-4,0,0,0,0,0,0,0,-4,0,0,0,0,1,1,2,0,0,0,-4,0,0,0,0,1,0,0,0,-4,0,0,-4,0
Lettuce,0,1,1,1,1,-4,4,-4,4,0,4,0,2,1,0,0,0,2,0,2,1,0,-4,1,1,1,4,0,0,0,1,4,0,0,0,0,0,0
Melon,0,0,0,0,1,0,0,0,0,0,1,-4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mint,0,0,0,0,0,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Okra,1,2,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,0,0,0,0,2,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Onion,0,0,1,-4,1,1,2,0,4,0,0,0,0,-4,0,1,0,1,0,0,0,0,1,-4,-4,0,0,1,-4,1,0,0,1,1,0,-4,0,0
Oregano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paprika,0,2,0,0,-4,-4,0,0,0,0,0,0,0,-4,0,0,0,0,1,1,2,0,1,0,-4,0,0,1,1,1,0,0,0,1,0,0,-4,0
Parsley,0,1,0,0,0,1,1,0,0,0,0,0,-4,1,0,-4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Peas,1,1,1,1,0,0,1,0,0,0,1,1,-4,1,1,1,0,1,0,-4,0,1,0,0,0,0,1,2,0,1,0,0,0,-4,1,0,0,0
Potato,-4,1,0,1,1,1,-4,1,4,1,1,-4,3,4,-4,1,0,0,-4,-4,1,-4,3,1,0,-4,1,0,0,1,-4,-4,1,-4,-4,0,-4,-4
Pumpkin,0,0,0,0,-4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,-4,0
Radish,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Rosemary,0,0,0,0,1,1,1,1,0,0,0,-4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Sage,0,0,0,0,0,1,1,0,0,0,0,-4,-4,1,0,0,0,0,0,-4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Spinach,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Squash,0,0,0,0,-4,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,2,0,2,4,-4,0,1,0,0,0,0,1,0,0,0,0,-4,0
Sunflower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyme,1,0,0,0,0,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Tomato,-4,4,-4,0,-4,-4,1,-4,0,0,-4,0,1,0,-4,1,0,2,0,1,0,0,1,-4,-4,0,2,1,1,1,0,2,2,0,-4,0,-4,0
Turnip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,2,0,0,0,2,-4,0,0,0,0
Vigna,1,0,0,0,0,0,1,1,0,0,1,1,-4,0,0,0,0,0,0,-4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Watermelon,0,0,0,0,2,0,0,0,0,0,2,-4,2,0,-4,0,0,2,0,0,0,-4,0,1,-4,-4,2,0,0,0,-4,0,0,-4,0,0,0,-4
Zucchini,0,0,0,0,1,0,1,1,4,0,1,-4,0,1,0,0,0,0,0,0,4,0,2,4,-4,0,1,0,0,0,0,0,0,0,0,0,-4,0
