"Crop","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"Aubergine","0","0","0","1","1","1","2","2","3","3","0","0"
"Basil","0","0","1","1","3","3","3","3","3","3","3","0"
"Beet","0","1","0","0","3","0","0","0","0","0","0","0"
"Broad Beans","0","0","3","3","3","0","0","0","1","1","0","0"
"Broccoli","0","0","1","1","0","3","3","1","1","0","3","3"
"Cabbage","0","0","3","3","3","0","0","0","1","1","0","0"
"Carrot","1","2","2","3","3","0","3","2","2","1","1","0"
"Cauliflower","0","0","3","3","3","0","0","0","1","1","0","0"
"Chamomile","3","3","1","1","3","3","3","3","3","3","3","3"
"Coriander","3","0","0","2","3","3","3","3","3","3","3","3"
"Corn","0","0","1","1","0","3","3","0","0","0","0","0"
"Cucumber","0","0","0","1","2","2","2","3","3","0","0","0"
"Garlic","0","0","0","0","3","3","3","0","1","1","1","0"
"Green Beans","0","0","0","1","1","2","2","3","3","3","0","0"
"Hot Pepper","0","0","0","1","1","1","2","2","3","3","0","0"
"Lettuce","0","3","3","3","0","0","0","0","0","1","1","0"
"Melon","0","0","0","1","2","2","2","3","3","0","0","0"
"Mint","0","0","1","1","3","3","3","3","3","3","3","0"
"Okra","0","0","0","1","1","2","3","3","3","3","3","0"
"Onion","0","0","0","0","0","3","3","0","0","1","1","0"
"Oregano","3","3","3","3","3","3","3","3","3","1","3","3"
"Paprika","0","0","0","1","1","1","2","2","3","3","0","0"
"Parsley","3","0","0","2","3","3","3","3","3","3","3","3"
"Peas","1","0","0","3","3","0","0","0","0","1","1","1"
"Potato","3","3","3","3","0","0","0","0","1","1","1","0"
"Pumpkin","0","0","0","1","0","0","3","3","3","3","3","0"
"Radish","2","2","3","3","3","0","0","0","1","1","2","2"
"Rosemary","3","3","3","3","3","3","3","3","3","1","3","3"
"Sage","3","3","1","1","3","3","3","3","3","3","3","3"
"Spinach","2","2","3","3","0","0","0","0","0","1","2","2"
"Squash","0","0","0","1","0","0","3","3","3","3","3","0"
"Sunflower","0","0","0","1","0","0","0","3","0","0","0","0"
"Thyme","3","3","1","1","3","3","3","3","3","3","3","3"
"Tomato","0","0","0","1","1","2","2","3","3","3","0","0"
"Turnip","1","1","3","3","3","0","0","0","0","1","2","3"
"Vigna","0","0","0","1","1","2","2","3","3","3","0","0"
"Watermelon","0","0","0","0","0","1","1","3","3","3","0","0"
"Zucchini","0","0","0","1","2","3","3","3","3","3","0","0"
